# This file contains voltage measurements accross a 100 Ω shunt resistor driven by the digital current driver.
# KS34470A ACAL TEMP=+2.75075130E+01
# Log started at UTC: 2021-04-13T19:43:25+00:00
# Date,Value KS34470A
2021-04-13 19:43:29.905684,-1.02443949E+01
2021-04-13 19:43:33.960052,-1.02443953E+01
2021-04-13 19:43:38.014978,-1.02443950E+01
2021-04-13 19:43:42.069879,-1.02443951E+01
2021-04-13 19:43:46.124515,-1.02443948E+01
2021-04-13 19:43:50.179302,-1.02443952E+01
2021-04-13 19:43:54.234424,-1.02443947E+01
2021-04-13 19:43:58.289545,-1.02443947E+01
2021-04-13 19:44:02.343229,-1.02443959E+01
2021-04-13 19:44:06.397550,-1.02443968E+01
2021-04-13 19:44:10.530483,-1.02443962E+01
2021-04-13 19:44:14.584571,-1.02443956E+01
2021-04-13 19:44:18.638718,-1.02443955E+01
2021-04-13 19:44:22.692684,-1.02443959E+01
2021-04-13 19:44:26.746831,-1.02443952E+01
2021-04-13 19:44:30.800711,-1.02443960E+01
2021-04-13 19:44:34.854728,-1.02443946E+01
2021-04-13 19:44:38.908820,-1.02443951E+01
2021-04-13 19:44:42.963093,-1.02443951E+01
2021-04-13 19:44:47.017095,-1.02443949E+01
2021-04-13 19:44:51.071188,-1.02443955E+01
2021-04-13 19:44:55.125131,-1.02443950E+01
2021-04-13 19:44:59.179936,-1.02443953E+01
2021-04-13 19:45:03.234820,-1.02443959E+01
2021-04-13 19:45:07.289589,-1.02443970E+01
2021-04-13 19:45:11.344472,-1.02443966E+01
2021-04-13 19:45:15.399360,-1.02443972E+01
2021-04-13 19:45:19.532351,-1.02443967E+01
2021-04-13 19:45:23.587111,-1.02443958E+01
2021-04-13 19:45:27.641202,-1.02443957E+01
2021-04-13 19:45:31.695353,-1.02443962E+01
2021-04-13 19:45:35.749539,-1.02443962E+01
2021-04-13 19:45:39.803603,-1.02443961E+01
2021-04-13 19:45:43.936661,-1.02443957E+01
2021-04-13 19:45:47.990819,-1.02443960E+01
2021-04-13 19:45:52.045003,-1.02443957E+01
2021-04-13 19:45:56.098993,-1.02443961E+01
2021-04-13 19:46:00.154134,-1.02443964E+01
