time,Output,Temperature
2022-09-13 03:00:00+00,775,309.655
2022-09-13 03:00:02+00,775,309.66
2022-09-13 03:00:04+00,775,309.665
2022-09-13 03:00:06+00,775,309.66
2022-09-13 03:00:08+00,775,309.655
2022-09-13 03:00:10+00,775,309.665
2022-09-13 03:00:12+00,775,309.66
2022-09-13 03:00:14+00,775,309.66
2022-09-13 03:00:16+00,775,309.665
2022-09-13 03:00:18+00,775,309.665
2022-09-13 03:00:20+00,775,309.665
2022-09-13 03:00:22+00,775,309.66
2022-09-13 03:00:24+00,775,309.665
2022-09-13 03:00:26+00,775,309.665
2022-09-13 03:00:28+00,775,309.665
2022-09-13 03:00:30+00,775,309.65
2022-09-13 03:00:32+00,775,309.66
2022-09-13 03:00:34+00,775,309.66
2022-09-13 03:00:36+00,775,309.665
2022-09-13 03:00:38+00,775,309.66
2022-09-13 03:00:40+00,775,309.665
2022-09-13 03:00:42+00,775,309.66
2022-09-13 03:00:44+00,775,309.66
2022-09-13 03:00:46+00,775,309.66
2022-09-13 03:00:48+00,775,309.67
2022-09-13 03:00:50+00,775,309.655
2022-09-13 03:00:52+00,775,309.665
2022-09-13 03:00:54+00,775,309.675
2022-09-13 03:00:56+00,775,309.655
2022-09-13 03:00:58+00,775,309.665
2022-09-13 03:01:00+00,775,309.67
2022-09-13 03:01:02+00,775,309.665
2022-09-13 03:01:04+00,775,309.66
2022-09-13 03:01:06+00,775,309.655
2022-09-13 03:01:08+00,775,309.67
2022-09-13 03:01:10+00,775,309.66
2022-09-13 03:01:12+00,775,309.665
2022-09-13 03:01:14+00,775,309.66
2022-09-13 03:01:16+00,775,309.665
2022-09-13 03:01:18+00,775,309.665
2022-09-13 03:01:20+00,775,309.665
2022-09-13 03:01:22+00,775,309.66
2022-09-13 03:01:24+00,775,309.66
2022-09-13 03:01:26+00,775,309.65
2022-09-13 03:01:28+00,775,309.66
2022-09-13 03:01:30+00,775,309.66
2022-09-13 03:01:32+00,775,309.66
2022-09-13 03:01:34+00,775,309.67
2022-09-13 03:01:36+00,775,309.655
2022-09-13 03:01:38+00,775,309.66
2022-09-13 03:01:40+00,775,309.655
2022-09-13 03:01:42+00,775,309.665
2022-09-13 03:01:44+00,775,309.67
2022-09-13 03:01:46+00,775,309.665
2022-09-13 03:01:48+00,775,309.665
2022-09-13 03:01:50+00,775,309.665
2022-09-13 03:01:52+00,775,309.655
2022-09-13 03:01:54+00,775,309.66
2022-09-13 03:01:56+00,775,309.665
2022-09-13 03:01:58+00,775,309.65
2022-09-13 03:02:00+00,775,309.655
2022-09-13 03:02:02+00,775,309.67
2022-09-13 03:02:04+00,775,309.66
2022-09-13 03:02:06+00,775,309.655
2022-09-13 03:02:08+00,775,309.66
2022-09-13 03:02:10+00,775,309.655
2022-09-13 03:02:12+00,775,309.66
2022-09-13 03:02:14+00,775,309.65
2022-09-13 03:02:16+00,775,309.655
