"time","output","temperature_room","temperature_labnode"
"2022-09-21 01:00:00+00",877,296.155,306.205
"2022-09-21 01:00:02+00",877,296.1566666666667,306.2
"2022-09-21 01:00:04+00",877,296.154,306.19
"2022-09-21 01:00:06+00",877,296.154,306.195
"2022-09-21 01:00:08+00",877,296.15166666666664,306.195
"2022-09-21 01:00:10+00",877,296.1433333333334,306.2
"2022-09-21 01:00:12+00",877,296.144,306.19
"2022-09-21 01:00:14+00",877,296.145,306.19
"2022-09-21 01:00:16+00",877,296.14,306.2
"2022-09-21 01:00:18+00",877,296.13666666666666,306.195
"2022-09-21 01:00:20+00",877,296.1533333333333,306.2
"2022-09-21 01:00:22+00",877,296.142,306.2
"2022-09-21 01:00:24+00",877,296.13714285714286,306.205
"2022-09-21 01:00:26+00",877,296.134,306.21
"2022-09-21 01:00:28+00",877,296.14000000000004,306.205
"2022-09-21 01:00:30+00",877,296.14400000000006,306.21
"2022-09-21 01:00:32+00",877,296.14125000000007,306.205
"2022-09-21 01:00:34+00",877,296.13,306.205
"2022-09-21 01:00:36+00",877,296.13714285714286,306.2
"2022-09-21 01:00:38+00",877,296.14,306.205
"2022-09-21 01:00:40+00",877,296.1385714285715,306.19
"2022-09-21 01:00:42+00",877,296.13428571428574,306.2
"2022-09-21 01:00:44+00",877,296.12777777777774,306.205
"2022-09-21 01:00:46+00",877,296.11833333333334,306.2
"2022-09-21 01:00:48+00",877,296.13000000000005,306.2
"2022-09-21 01:00:50+00",877,296.14,306.21
"2022-09-21 01:00:52+00",877,296.13,306.205
"2022-09-21 01:00:54+00",877,296.13375,306.2
"2022-09-21 01:00:56+00",877,296.13,306.195
"2022-09-21 01:00:58+00",877,296.135,306.205
"2022-09-21 01:01:00+00",877,296.1266666666667,306.195
"2022-09-21 01:01:02+00",877,296.1242857142857,306.195
"2022-09-21 01:01:04+00",877,296.13000000000005,306.195
"2022-09-21 01:01:06+00",877,296.11999999999995,306.195
"2022-09-21 01:01:08+00",877,296.125,306.18
"2022-09-21 01:01:10+00",877,296.125,306.19
"2022-09-21 01:01:12+00",877,296.1328571428572,306.19
"2022-09-21 01:01:14+00",877,296.1471428571429,306.18
"2022-09-21 01:01:16+00",877,296.125,306.18
"2022-09-21 01:01:18+00",877,296.1214285714286,306.18
"2022-09-21 01:01:20+00",877,296.13714285714286,306.185
"2022-09-21 01:01:22+00",877,296.12142857142857,306.185
"2022-09-21 01:01:24+00",877,296.125,306.18
"2022-09-21 01:01:26+00",877,296.128,306.19
"2022-09-21 01:01:28+00",877,296.12999999999994,306.19
"2022-09-21 01:01:30+00",877,296.135,306.195
"2022-09-21 01:01:32+00",877,296.13428571428574,306.185
"2022-09-21 01:01:34+00",877,296.1333333333333,306.185
"2022-09-21 01:01:36+00",877,296.14,306.195
"2022-09-21 01:01:38+00",877,296.14,306.19
"2022-09-21 01:01:40+00",877,296.14399999999995,306.195
"2022-09-21 01:01:42+00",877,296.14,306.18
"2022-09-21 01:01:44+00",877,296.14399999999995,306.19
"2022-09-21 01:01:46+00",877,296.13000000000005,306.185
"2022-09-21 01:01:48+00",877,296.1533333333333,306.19
"2022-09-21 01:01:50+00",877,296.14,306.19
"2022-09-21 01:01:52+00",877,296.1483333333333,306.19
"2022-09-21 01:01:54+00",877,296.14285714285717,306.2
"2022-09-21 01:01:56+00",877,296.13800000000003,306.19
"2022-09-21 01:01:58+00",877,296.142,306.195
"2022-09-21 01:02:00+00",877,296.146,306.2
"2022-09-21 01:02:02+00",877,296.13599999999997,306.195
"2022-09-21 01:02:04+00",877,296.14399999999995,306.21
"2022-09-21 01:02:06+00",877,296.1428571428572,306.195
"2022-09-21 01:02:08+00",877,296.142,306.2
"2022-09-21 01:02:10+00",877,296.14285714285717,306.21
"2022-09-21 01:02:12+00",877,296.13199999999995,306.21
"2022-09-21 01:02:14+00",877,296.1475,306.195
"2022-09-21 01:02:16+00",877,296.13999999999993,306.205
"2022-09-21 01:02:18+00",877,296.14399999999995,306.2
"2022-09-21 01:02:20+00",877,296.1475,306.2
"2022-09-21 01:02:22+00",877,296.1583333333333,306.2
"2022-09-21 01:02:24+00",877,296.1466666666667,306.2
"2022-09-21 01:02:26+00",877,296.14666666666665,306.2
