"time","output","temperature room","temperature labnode"
"2022-09-24 09:00:00+00",570,296.145,307.2
"2022-09-24 09:00:02+00",570,296.15999999999997,307.21
"2022-09-24 09:00:04+00",570,296.17,307.2
"2022-09-24 09:00:06+00",570,296.15999999999997,307.195
"2022-09-24 09:00:08+00",570,296.15999999999997,307.2
"2022-09-24 09:00:10+00",570,296.15,307.205
"2022-09-24 09:00:12+00",570,296.145,307.205
"2022-09-24 09:00:14+00",570,296.15999999999997,307.205
"2022-09-24 09:00:16+00",570,296.15999999999997,307.19
"2022-09-24 09:00:18+00",570,296.145,307.21500000000003
"2022-09-24 09:00:20+00",570,296.135,307.205
"2022-09-24 09:00:22+00",570,296.145,307.21500000000003
"2022-09-24 09:00:24+00",570,296.145,307.21
"2022-09-24 09:00:26+00",570,296.145,307.205
"2022-09-24 09:00:28+00",570,296.145,307.21
"2022-09-24 09:00:30+00",570,296.13,307.225
"2022-09-24 09:00:32+00",570,296.14,307.21500000000003
"2022-09-24 09:00:34+00",570,296.15,307.21500000000003
"2022-09-24 09:00:36+00",570,296.175,307.21
"2022-09-24 09:00:38+00",570,296.145,307.21000000000004
"2022-09-24 09:00:40+00",570,296.145,307.22
"2022-09-24 09:00:42+00",570,296.15999999999997,307.21
"2022-09-24 09:00:44+00",570,296.15999999999997,307.22
"2022-09-24 09:00:46+00",570,296.15,307.23
"2022-09-24 09:00:48+00",570,296.155,307.21500000000003
"2022-09-24 09:00:50+00",570,296.15999999999997,307.23
"2022-09-24 09:00:52+00",570,296.15999999999997,307.225
"2022-09-24 09:00:54+00",570,296.13,307.23
"2022-09-24 09:00:56+00",570,296.14,307.225
"2022-09-24 09:00:58+00",570,296.15999999999997,307.225
"2022-09-24 09:01:00+00",570,296.15999999999997,307.23
"2022-09-24 09:01:02+00",570,296.145,307.23
"2022-09-24 09:01:04+00",570,296.14,307.225
"2022-09-24 09:01:06+00",570,296.15,307.225
"2022-09-24 09:01:08+00",570,296.155,307.24
"2022-09-24 09:01:10+00",570,296.15,307.23
"2022-09-24 09:01:12+00",570,296.145,307.22
"2022-09-24 09:01:14+00",570,296.155,307.235
"2022-09-24 09:01:16+00",570,296.12,307.23
"2022-09-24 09:01:18+00",570,296.14,307.225
"2022-09-24 09:01:20+00",570,296.135,307.23
"2022-09-24 09:01:22+00",570,296.13,307.235
"2022-09-24 09:01:24+00",570,296.15999999999997,307.23
"2022-09-24 09:01:26+00",570,296.14,307.23
"2022-09-24 09:01:28+00",570,296.135,307.235
"2022-09-24 09:01:30+00",570,296.155,307.25
"2022-09-24 09:01:32+00",570,296.16499999999996,307.24
"2022-09-24 09:01:34+00",570,296.16499999999996,307.23
"2022-09-24 09:01:36+00",570,296.145,307.23
"2022-09-24 09:01:38+00",570,296.16499999999996,307.235
"2022-09-24 09:01:40+00",570,296.15,307.245
"2022-09-24 09:01:42+00",570,296.175,307.24
"2022-09-24 09:01:44+00",570,296.18,307.24
"2022-09-24 09:01:46+00",570,296.15999999999997,307.235
"2022-09-24 09:01:48+00",570,296.175,307.23
"2022-09-24 09:01:50+00",570,296.15999999999997,307.235
"2022-09-24 09:01:52+00",570,296.15,307.23
"2022-09-24 09:01:54+00",570,296.15999999999997,307.23
"2022-09-24 09:01:56+00",570,296.145,307.235
"2022-09-24 09:01:58+00",570,296.155,307.22
"2022-09-24 09:02:00+00",570,296.155,307.235
"2022-09-24 09:02:02+00",570,296.16499999999996,307.23
"2022-09-24 09:02:04+00",570,296.15999999999997,307.225
"2022-09-24 09:02:06+00",570,296.17,307.23
"2022-09-24 09:02:08+00",570,296.135,307.22
"2022-09-24 09:02:10+00",570,296.17,307.23
"2022-09-24 09:02:12+00",570,296.155,307.22
"2022-09-24 09:02:14+00",570,296.145,307.22
"2022-09-24 09:02:16+00",570,296.19,307.225
"2022-09-24 09:02:18+00",570,296.16499999999996,307.22
"2022-09-24 09:02:20+00",570,296.15999999999997,307.225
"2022-09-24 09:02:22+00",570,296.15999999999997,307.22
"2022-09-24 09:02:24+00",570,296.15999999999997,307.22
"2022-09-24 09:02:26+00",570,296.16499999999996,307.22
"2022-09-24 09:02:28+00",570,296.16499999999996,307.21000000000004
"2022-09-24 09:02:30+00",570,296.155,307.22
"2022-09-24 09:02:32+00",570,296.16499999999996,307.225
"2022-09-24 09:02:34+00",570,296.145,307.21500000000003
"2022-09-24 09:02:36+00",570,296.15999999999997,307.21500000000003
"2022-09-24 09:02:38+00",570,296.175,307.21
"2022-09-24 09:02:40+00",570,296.15999999999997,307.225
"2022-09-24 09:02:42+00",570,296.18,307.21500000000003
"2022-09-24 09:02:44+00",570,296.175,307.22
"2022-09-24 09:02:46+00",570,296.15999999999997,307.21500000000003
"2022-09-24 09:02:48+00",570,296.16499999999996,307.225
"2022-09-24 09:02:50+00",570,296.175,307.23
"2022-09-24 09:02:52+00",570,296.175,307.225
"2022-09-24 09:02:54+00",570,296.17499999999995,307.22
"2022-09-24 09:02:56+00",570,296.175,307.225
"2022-09-24 09:02:58+00",570,296.2,307.22
"2022-09-24 09:03:00+00",570,296.16499999999996,307.225
"2022-09-24 09:03:02+00",570,296.175,307.22
"2022-09-24 09:03:04+00",570,296.19,307.21
"2022-09-24 09:03:06+00",570,296.19,307.225
"2022-09-24 09:03:08+00",570,296.19,307.23
"2022-09-24 09:03:10+00",570,296.16499999999996,307.22
