#Vds vs Id simulation of a IRF9610
#Vsd,Vgs=-3.5,Vgs=-4,Vgs=-4.5,Vgs=-5
0.000000000000000e+000,-0.000000e+000,-0.000000e+000,-0.000000e+000,-0.000000e+000
1.000000000000000e-001,-1.865322e-003,-1.069705e-002,-1.911346e-002,-2.449183e-002
2.000000000000000e-001,-2.095885e-003,-2.026487e-002,-3.758759e-002,-4.858721e-002
3.000000000000000e-001,-2.096716e-003,-2.863310e-002,-5.539626e-002,-7.227376e-002
4.000000000000000e-001,-2.097546e-003,-3.572373e-002,-7.251166e-002,-9.553854e-002
5.000000000000000e-001,-2.098377e-003,-4.145006e-002,-8.890427e-002,-1.183680e-001
6.000000000000000e-001,-2.099208e-003,-4.571546e-002,-1.045426e-001,-1.407481e-001
7.000000000000000e-001,-2.100039e-003,-4.841179e-002,-1.193932e-001,-1.626639e-001
7.999999999999999e-001,-2.100869e-003,-4.941773e-002,-1.334202e-001,-1.840998e-001
8.999999999999999e-001,-2.101700e-003,-4.943818e-002,-1.465853e-001,-2.050397e-001
9.999999999999999e-001,-2.102531e-003,-4.945591e-002,-1.588474e-001,-2.254663e-001
1.100000000000000e+000,-2.103362e-003,-4.947365e-002,-1.701625e-001,-2.453617e-001
1.200000000000000e+000,-2.104192e-003,-4.949139e-002,-1.804833e-001,-2.647071e-001
1.300000000000000e+000,-2.105023e-003,-4.950913e-002,-1.897587e-001,-2.834824e-001
1.400000000000000e+000,-2.105854e-003,-4.952686e-002,-1.979337e-001,-3.016669e-001
1.500000000000000e+000,-2.106684e-003,-4.954460e-002,-2.049487e-001,-3.192384e-001
1.600000000000000e+000,-2.107515e-003,-4.956233e-002,-2.107394e-001,-3.361735e-001
1.700000000000000e+000,-2.108346e-003,-4.958006e-002,-2.152356e-001,-3.524478e-001
1.800000000000001e+000,-2.109176e-003,-4.959779e-002,-2.183613e-001,-3.680352e-001
1.900000000000001e+000,-2.110007e-003,-4.961552e-002,-2.200333e-001,-3.829081e-001
2.000000000000000e+000,-2.110838e-003,-4.963325e-002,-2.203317e-001,-3.970374e-001
2.100000000000001e+000,-2.111668e-003,-4.965097e-002,-2.204001e-001,-4.103920e-001
2.200000000000001e+000,-2.112499e-003,-4.966869e-002,-2.204686e-001,-4.229391e-001
2.300000000000001e+000,-2.113330e-003,-4.968642e-002,-2.205371e-001,-4.346438e-001
2.400000000000001e+000,-2.114160e-003,-4.970414e-002,-2.206056e-001,-4.454687e-001
2.500000000000001e+000,-2.114991e-003,-4.972186e-002,-2.206741e-001,-4.553741e-001
2.600000000000001e+000,-2.115822e-003,-4.973958e-002,-2.207425e-001,-4.643176e-001
2.700000000000001e+000,-2.116652e-003,-4.975729e-002,-2.208110e-001,-4.722538e-001
2.800000000000001e+000,-2.117483e-003,-4.977501e-002,-2.208794e-001,-4.791340e-001
2.900000000000001e+000,-2.118314e-003,-4.979273e-002,-2.209478e-001,-4.849062e-001
3.000000000000001e+000,-2.119144e-003,-4.981044e-002,-2.210163e-001,-4.895141e-001
3.100000000000001e+000,-2.119975e-003,-4.982815e-002,-2.210847e-001,-4.928975e-001
3.200000000000002e+000,-2.120805e-003,-4.984586e-002,-2.211531e-001,-4.949911e-001
3.300000000000002e+000,-2.121636e-003,-4.986357e-002,-2.212214e-001,-4.957287e-001
