#Vload,Rout @ DC,rout @ 1MHz
2.50000000000000e+00,2.31706000000000e+02,1.05733000000000e+02
2.50100000000000e+00,2.31706000000000e+02,1.05733000000000e+02
2.50200000000000e+00,2.31706000000000e+02,1.05733000000000e+02
2.50300000000000e+00,2.31705000000000e+02,1.05733000000000e+02
2.50400000000000e+00,2.31705000000000e+02,1.05733000000000e+02
2.50500000000000e+00,2.31705000000000e+02,1.05733000000000e+02
2.50600000000000e+00,2.31705000000000e+02,1.05733000000000e+02
2.50700000000000e+00,2.31705000000000e+02,1.05733000000000e+02
2.50800000000000e+00,2.31705000000000e+02,1.05733000000000e+02
2.50900000000000e+00,2.31705000000000e+02,1.05733000000000e+02
2.51000000000000e+00,2.31705000000000e+02,1.05732000000000e+02
2.51100000000000e+00,2.31705000000000e+02,1.05732000000000e+02
2.51200000000000e+00,2.31705000000000e+02,1.05732000000000e+02
2.51300000000000e+00,2.31705000000000e+02,1.05732000000000e+02
2.51400000000000e+00,2.31705000000000e+02,1.05732000000000e+02
2.51500000000000e+00,2.31705000000000e+02,1.05732000000000e+02
2.51600000000000e+00,2.31705000000000e+02,1.05732000000000e+02
2.51700000000000e+00,2.31705000000000e+02,1.05732000000000e+02
2.51800000000000e+00,2.31705000000000e+02,1.05732000000000e+02
2.51900000000000e+00,2.31705000000000e+02,1.05732000000000e+02
2.52000000000000e+00,2.31705000000000e+02,1.05732000000000e+02
2.52100000000000e+00,2.31705000000000e+02,1.05732000000000e+02
2.52200000000000e+00,2.31705000000000e+02,1.05732000000000e+02
2.52300000000000e+00,2.31704000000000e+02,1.05732000000000e+02
2.52400000000000e+00,2.31704000000000e+02,1.05732000000000e+02
2.52500000000000e+00,2.31704000000000e+02,1.05732000000000e+02
2.52600000000000e+00,2.31704000000000e+02,1.05732000000000e+02
2.52700000000000e+00,2.31704000000000e+02,1.05732000000000e+02
2.52800000000000e+00,2.31704000000000e+02,1.05732000000000e+02
2.52900000000000e+00,2.31704000000000e+02,1.05731000000000e+02
2.53000000000000e+00,2.31704000000000e+02,1.05731000000000e+02
2.53100000000000e+00,2.31704000000000e+02,1.05731000000000e+02
2.53200000000000e+00,2.31704000000000e+02,1.05731000000000e+02
2.53300000000000e+00,2.31704000000000e+02,1.05731000000000e+02
2.53400000000000e+00,2.31704000000000e+02,1.05731000000000e+02
2.53500000000000e+00,2.31704000000000e+02,1.05731000000000e+02
2.53600000000000e+00,2.31704000000000e+02,1.05731000000000e+02
2.53700000000000e+00,2.31704000000000e+02,1.05731000000000e+02
2.53800000000000e+00,2.31704000000000e+02,1.05731000000000e+02
2.53900000000000e+00,2.31704000000000e+02,1.05731000000000e+02
2.54000000000000e+00,2.31704000000000e+02,1.05731000000000e+02
2.54100000000000e+00,2.31704000000000e+02,1.05731000000000e+02
2.54200000000000e+00,2.31703000000000e+02,1.05731000000000e+02
2.54300000000000e+00,2.31703000000000e+02,1.05731000000000e+02
2.54400000000000e+00,2.31703000000000e+02,1.05731000000000e+02
2.54500000000000e+00,2.31703000000000e+02,1.05731000000000e+02
2.54600000000000e+00,2.31703000000000e+02,1.05731000000000e+02
2.54700000000000e+00,2.31703000000000e+02,1.05731000000000e+02
2.54800000000000e+00,2.31703000000000e+02,1.05731000000000e+02
