# Monto Carlo sim (Gaussian bias) with parallel MOSFETs,
#Run #, ro
0.00000000000000e+00,1.84950000000000e+02
1.00000000000000e+00,1.75058000000000e+02
2.00000000000000e+00,1.84967000000000e+02
3.00000000000000e+00,2.00700000000000e+02
4.00000000000000e+00,1.91536000000000e+02
5.00000000000000e+00,1.80534000000000e+02
6.00000000000000e+00,1.91631000000000e+02
7.00000000000000e+00,2.14693000000000e+02
8.00000000000000e+00,1.96220000000000e+02
9.00000000000000e+00,1.82548000000000e+02
1.00000000000000e+01,2.07014000000000e+02
1.10000000000000e+01,1.82080000000000e+02
1.20000000000000e+01,1.82653000000000e+02
1.30000000000000e+01,1.88119000000000e+02
1.40000000000000e+01,2.12647000000000e+02
1.50000000000000e+01,1.78817000000000e+02
1.60000000000000e+01,1.97618000000000e+02
1.70000000000000e+01,1.83334000000000e+02
1.80000000000000e+01,1.82817000000000e+02
1.90000000000000e+01,1.87756000000000e+02
2.00000000000000e+01,2.05192000000000e+02
2.10000000000000e+01,1.75405000000000e+02
2.20000000000000e+01,2.02453000000000e+02
2.30000000000000e+01,1.90916000000000e+02
2.40000000000000e+01,1.90590000000000e+02
2.50000000000000e+01,2.14693000000000e+02
2.60000000000000e+01,1.86210000000000e+02
2.70000000000000e+01,1.97501000000000e+02
2.80000000000000e+01,1.82591000000000e+02
2.90000000000000e+01,1.79779000000000e+02
3.00000000000000e+01,1.88557000000000e+02
3.10000000000000e+01,1.87619000000000e+02
3.20000000000000e+01,1.75344000000000e+02
3.30000000000000e+01,1.87490000000000e+02
3.40000000000000e+01,1.75872000000000e+02
3.50000000000000e+01,2.04100000000000e+02
3.60000000000000e+01,1.80912000000000e+02
3.70000000000000e+01,1.96789000000000e+02
3.80000000000000e+01,1.79275000000000e+02
3.90000000000000e+01,1.81917000000000e+02
4.00000000000000e+01,1.88255000000000e+02
4.10000000000000e+01,1.79869000000000e+02
4.20000000000000e+01,1.78477000000000e+02
4.30000000000000e+01,1.89802000000000e+02
4.40000000000000e+01,1.86108000000000e+02
4.50000000000000e+01,2.14693000000000e+02
4.60000000000000e+01,1.82160000000000e+02
4.70000000000000e+01,1.83554000000000e+02
4.80000000000000e+01,1.78542000000000e+02
4.90000000000000e+01,1.78398000000000e+02
5.00000000000000e+01,1.95344000000000e+02
5.10000000000000e+01,1.79336000000000e+02
5.20000000000000e+01,1.90169000000000e+02
5.30000000000000e+01,1.79808000000000e+02
5.40000000000000e+01,1.87978000000000e+02
5.50000000000000e+01,1.76643000000000e+02
5.60000000000000e+01,1.80400000000000e+02
5.70000000000000e+01,1.82892000000000e+02
5.80000000000000e+01,1.82514000000000e+02
5.90000000000000e+01,1.84127000000000e+02
6.00000000000000e+01,1.82925000000000e+02
6.10000000000000e+01,1.82061000000000e+02
6.20000000000000e+01,1.85467000000000e+02
6.30000000000000e+01,1.88517000000000e+02
6.40000000000000e+01,1.81658000000000e+02
6.50000000000000e+01,1.89032000000000e+02
6.60000000000000e+01,1.80871000000000e+02
6.70000000000000e+01,1.87377000000000e+02
6.80000000000000e+01,1.90685000000000e+02
6.90000000000000e+01,1.96081000000000e+02
7.00000000000000e+01,1.84691000000000e+02
7.10000000000000e+01,1.95502000000000e+02
7.20000000000000e+01,1.86601000000000e+02
7.30000000000000e+01,1.99825000000000e+02
7.40000000000000e+01,2.10630000000000e+02
7.50000000000000e+01,2.07366000000000e+02
7.60000000000000e+01,1.94957000000000e+02
7.70000000000000e+01,1.86551000000000e+02
7.80000000000000e+01,1.96238000000000e+02
7.90000000000000e+01,1.86712000000000e+02
8.00000000000000e+01,1.84698000000000e+02
8.10000000000000e+01,1.78801000000000e+02
8.20000000000000e+01,1.84189000000000e+02
8.30000000000000e+01,1.82246000000000e+02
8.40000000000000e+01,1.82088000000000e+02
8.50000000000000e+01,1.90654000000000e+02
8.60000000000000e+01,1.97355000000000e+02
8.70000000000000e+01,1.91546000000000e+02
8.80000000000000e+01,2.12759000000000e+02
8.90000000000000e+01,1.85113000000000e+02
9.00000000000000e+01,1.88008000000000e+02
9.10000000000000e+01,1.86285000000000e+02
9.20000000000000e+01,1.82071000000000e+02
9.30000000000000e+01,1.86104000000000e+02
9.40000000000000e+01,1.95740000000000e+02
9.50000000000000e+01,1.88154000000000e+02
9.60000000000000e+01,1.92103000000000e+02
9.70000000000000e+01,2.14693000000000e+02
9.80000000000000e+01,1.89538000000000e+02
9.90000000000000e+01,1.75473000000000e+02
1.00000000000000e+02,1.82715000000000e+02
1.01000000000000e+02,1.87726000000000e+02
1.02000000000000e+02,2.03444000000000e+02
1.03000000000000e+02,1.87959000000000e+02
1.04000000000000e+02,1.76141000000000e+02
1.05000000000000e+02,1.87090000000000e+02
1.06000000000000e+02,1.87692000000000e+02
1.07000000000000e+02,1.90509000000000e+02
1.08000000000000e+02,1.87768000000000e+02
1.09000000000000e+02,1.87034000000000e+02
1.10000000000000e+02,1.90624000000000e+02
1.11000000000000e+02,1.77320000000000e+02
1.12000000000000e+02,1.94196000000000e+02
1.13000000000000e+02,1.99482000000000e+02
1.14000000000000e+02,1.92323000000000e+02
1.15000000000000e+02,1.89706000000000e+02
