#Vsd vs Id simulation of a simple MOSFET model
#Vsd,Vgs=-0.2,Vgs=-0.4,Vgs=-0.6,Vgs=-0.8
0.000000000000000e+000,0.000000000000000e+000,0.000000000000000e+000,0.000000000000000e+000,0.000000000000000e+000
1.000000000000000e-002,-1.585413414003208e-003,-3.211478454003209e-003,-4.837543494003211e-003,-6.463608534003212e-003
2.000000000000000e-002,-3.089647152005384e-003,-6.341907312005391e-003,-9.594167472005394e-003,-1.284642763200540e-002
3.000000000000000e-002,-4.512691458006863e-003,-9.391276818006871e-003,-1.426986217800688e-002,-1.914844753800688e-002
4.000000000000000e-002,-5.854536576007870e-003,-1.235957721600786e-002,-1.886461785600788e-002,-2.536965849600789e-002
5.000000000000000e-002,-7.115172750008552e-003,-1.524679875000855e-002,-2.337842475000857e-002,-3.151005075000858e-002
6.000000000000001e-002,-8.294590224009017e-003,-1.805293166400901e-002,-2.781127310400905e-002,-3.756961454400904e-002
7.000000000000001e-002,-9.392779242009335e-003,-2.077796620200934e-002,-3.216315316200936e-002,-4.354834012200937e-002
8.000000000000000e-002,-1.040973004800955e-002,-2.342189260800955e-002,-3.643405516800953e-002,-4.944621772800953e-002
9.000000000000000e-002,-1.134543288600969e-002,-2.598470112600968e-002,-4.062396936600968e-002,-5.526323760600967e-002
9.999999999999999e-002,-1.219987800000979e-002,-2.846638200000978e-002,-4.473288600000978e-002,-6.099939000000976e-002
1.100000000000000e-001,-1.297305563400986e-002,-3.086692547400985e-002,-4.876079531400986e-002,-6.665466515400985e-002
1.200000000000000e-001,-1.366495603200990e-002,-3.318632179200990e-002,-5.270768755200989e-002,-7.222905331200989e-002
1.300000000000000e-001,-1.427556943800994e-002,-3.542456119800994e-002,-5.657355295800995e-002,-7.772254471800995e-002
1.400000000000000e-001,-1.480488609600995e-002,-3.758163393600995e-002,-6.035838177600996e-002,-8.313512961600995e-002
1.500000000000000e-001,-1.525289625000997e-002,-3.965753025000997e-002,-6.406216425000998e-002,-8.846679825000997e-002
1.600000000000000e-001,-1.561959014400998e-002,-4.165224038400998e-002,-6.768489062400999e-002,-9.371754086400999e-002
1.700000000000000e-001,-1.590495802200998e-002,-4.356575458200999e-002,-7.122655114201003e-002,-9.888734770201002e-002
1.800000000000000e-001,-1.610899012801000e-002,-4.539806308801000e-002,-7.468713604801001e-002,-1.039762090080100e-001
1.900000000000000e-001,-1.623167670600999e-002,-4.714915614601000e-002,-7.806663558601003e-002,-1.089841150260100e-001
2.000000000000000e-001,-1.627300800001000e-002,-4.881902400001000e-002,-8.136504000001001e-002,-1.139110560000100e-001
2.100000000000001e-001,-1.627365840001000e-002,-5.040765689401000e-002,-8.458233953401001e-002,-1.187570221740100e-001
