# Data exported by SMI v1.0.4 on 2017-04-15 01:43:05.
# This file contains the raw sensor data in the following format: 
# Sensor id, date (UTC), sensor value, sensor unit
# The data was taken from the following sensors:
# Sensor ID, sensor location, sensor name
# 8, Neon Labor, temp
#
sensor_id,date,value,unit
"8","2017-04-04 18:17:24","294.96","K"
"8","2017-04-04 18:18:24","294.9","K"
"8","2017-04-04 18:19:24","294.96","K"
"8","2017-04-04 18:20:25","294.9","K"
"8","2017-04-04 18:21:25","294.96","K"
"8","2017-04-04 18:22:25","294.9","K"
"8","2017-04-04 18:23:25","294.96","K"
"8","2017-04-04 18:24:42","294.9","K"
"8","2017-04-04 18:25:42","294.96","K"
"8","2017-04-04 18:27:36","294.9","K"
"8","2017-04-04 18:28:36","294.96","K"
"8","2017-04-04 18:29:46","294.9","K"
"8","2017-04-04 18:30:46","294.96","K"
"8","2017-04-04 18:35:26","295.02","K"
"8","2017-04-04 18:36:26","294.96","K"
"8","2017-04-04 18:37:42","295.02","K"
"8","2017-04-04 18:38:42","294.96","K"
"8","2017-04-04 18:39:43","295.02","K"
"8","2017-04-04 18:40:43","294.96","K"
"8","2017-04-04 18:41:43","295.02","K"
"8","2017-04-04 18:42:44","294.96","K"
"8","2017-04-04 18:43:44","295.02","K"
"8","2017-04-04 18:44:44","294.96","K"
"8","2017-04-04 18:45:44","295.02","K"
"8","2017-04-04 18:47:04","294.96","K"
"8","2017-04-04 18:48:04","295.02","K"
"8","2017-04-04 18:51:59","294.96","K"
"8","2017-04-04 18:52:59","295.02","K"
"8","2017-04-04 18:54:37","294.96","K"
"8","2017-04-04 18:55:37","295.02","K"
"8","2017-04-04 19:04:20","295.08","K"
"8","2017-04-04 19:05:20","295.02","K"
"8","2017-04-04 19:06:24","295.08","K"
"8","2017-04-04 19:07:24","295.02","K"
"8","2017-04-04 19:08:24","295.08","K"
"8","2017-04-04 19:09:24","295.02","K"
"8","2017-04-04 19:10:24","295.08","K"
